_lowerFrequency,_higherFrequency,_term,_status,_shortComments
2300000000,2400000000,Radiolocation,secondary,
2400000000,2450000000,Fixed,primary,
2400000000,2450000000,Mobile,primary,
2400000000,2450000000,Amateur,secondary,
2400000000,2450000000,Amateur-Satellite,secondary,
2400000000,2450000000,Radiolocation,secondary,
2450000000,2483500000,Fixed,primary,
2450000000,2483500000,Mobile,primary,
2450000000,2483500000,Fixed,primary,
2450000000,2483500000,Mobile,primary,
2483500000,2500000000,Fixed,primary,
2483500000,2500000000,Mobile,primary,
2483500000,2500000000,Mobile-Satellite (space-to-Earth),primary,
2500000000,2520000000,Fixed,primary,
2500000000,2520000000,Mobile except aeronautical mobile,primary,
2520000000,2655000000,Fixed,primary,
2520000000,2655000000,Mobile except aeronautical mobile,primary,
2655000000,2670000000,Fixed,primary,
2655000000,2670000000,Mobile except aeronautical mobile,primary,
2655000000,2670000000,Earth Exploration-Satellite (passive),secondary,
2655000000,2670000000,Radio Astronomy,secondary,
2655000000,2670000000,Space Research (passive),secondary,
2670000000,2690000000,Fixed,primary,
2670000000,2690000000,Mobile except aeronautical mobile,primary,
2670000000,2690000000,Radio Astronomy,secondary,
2690000000,2700000000,Earth Exploration-Satellite (passive),primary,
2690000000,2700000000,Radio Astronomy,primary,
2690000000,2700000000,Space Research (passive),primary,
2700000000,2900000000,Aeronautical Radionavigation,primary,
2700000000,2900000000,Radiolocation,secondary,
2900000000,3100000000,Radiolocation,primary,
2900000000,3100000000,Radionavigation,primary,
3100000000,3300000000,Radiolocation,primary,
3100000000,3300000000,Earth Exploration-Satellite (active),secondary,
3100000000,3300000000,Space Research (active),secondary,
3300000000,3400000000,Radiolocation,primary,
3400000000,3600000000,Mobile except aeronautical mobile,primary,
3400000000,3600000000,Fixed-Satellite (space-to-Earth),primary,
3400000000,3600000000,Fixed,primary,
3400000000,3600000000,Radiolocation,secondary,
3600000000,4200000000,Mobile,primary,
3600000000,4200000000,Fixed-Satellite (space-to-Earth),primary,
3600000000,4200000000,Fixed,primary,
4200000000,4400000000,Aeronautical Mobile (R),primary,
4200000000,4400000000,Aeronautical Radionavigation,primary,
4400000000,4500000000,Fixed,primary,
4400000000,4500000000,Mobile,primary,
4500000000,4800000000,Fixed,primary,
4500000000,4800000000,Fixed-Satellite (space-to-Earth),primary,
4500000000,4800000000,Mobile,primary,
4800000000,4990000000,Fixed,primary,
4800000000,4990000000,Mobile,primary,
4800000000,4990000000,Radio Astronomy,secondary,
4990000000,5000000000,Fixed,primary,
4990000000,5000000000,Mobile except aeronautical mobile,primary,
4990000000,5000000000,Radio Astronomy,primary,
5000000000,5010000000,Aeronautical Mobile-Satellite (R),primary,
5000000000,5010000000,Aeronautical Radionavigation,primary,
5000000000,5010000000,Radionavigation-Satellite (Earth-to-space),primary,
5000000000,5010000000,Radio Astronomy,secondary,
5000000000,5010000000,Space Research (passive),secondary,
5010000000,5030000000,Aeronautical Mobile-Satellite (R),primary,
5010000000,5030000000,Aeronautical Radionavigation,primary,
5010000000,5030000000,Radionavigation-Satellite (space-to-Earth) (space-to-space),primary,
5010000000,5030000000,Radio Astronomy,secondary,
5010000000,5030000000,Space Research (passive),secondary,
5030000000,5091000000,Aeronautical Mobile (R),primary,
5030000000,5091000000,Aeronautical Mobile-Satellite (R),primary,
5030000000,5091000000,Aeronautical Radionavigation,primary,
5091000000,5150000000,Aeronautical Mobile,primary,
5091000000,5150000000,Aeronautical Mobile-Satellite (R),primary,
5091000000,5150000000,Aeronautical Radionavigation,primary,
5091000000,5150000000,Fixed-Satellite (Earth-to-space),primary,
5150000000,5250000000,Aeronautical Radionavigation,primary,
5150000000,5250000000,Fixed-Satellite (Earth-to-space),primary,
5150000000,5250000000,Mobile except aeronautical mobile,primary,
5250000000,5255000000,Earth Exploration-Satellite (active),primary,
5250000000,5255000000,Mobile except aeronautical mobile,primary,
5250000000,5255000000,Radiolocation,primary,
5250000000,5255000000,Space Research,primary,
5255000000,5350000000,Earth Exploration-Satellite (active),primary,
5255000000,5350000000,Mobile except aeronautical mobile,primary,
5255000000,5350000000,Radiolocation,primary,
5255000000,5350000000,Space Research (active),primary,
5350000000,5460000000,Aeronautical Radionavigation,primary,
5350000000,5460000000,Earth Exploration-Satellite (active),primary,
5350000000,5460000000,Radiolocation,primary,
5350000000,5460000000,Space Research (active),primary,
5460000000,5470000000,Earth Exploration-Satellite (active),primary,
5460000000,5470000000,Radiolocation,primary,
5460000000,5470000000,Radionavigation,primary,
5460000000,5470000000,Space Research (active),primary,
5470000000,5570000000,Earth Exploration-Satellite (active),primary,
5470000000,5570000000,Radiolocation,primary,
5470000000,5570000000,Mobile except aeronautical mobile,primary,
5470000000,5570000000,Space Research (active),primary,
5470000000,5570000000,Maritime Radionavigation,primary,
5570000000,5650000000,Maritime Radionavigation,primary,
5570000000,5650000000,Mobile except aeronautical mobile,primary,
5570000000,5650000000,Radiolocation,primary,
5650000000,5725000000,Mobile except aeronautical mobile,primary,
5650000000,5725000000,Radiolocation,primary,
5650000000,5725000000,Amateur,secondary,
5650000000,5725000000,Amateur-Satellite,secondary,
5725000000,5830000000,Radiolocation,primary,
5725000000,5830000000,Amateur,secondary,
5725000000,5830000000,Fixed,secondary,
5725000000,5830000000,Mobile,secondary,
5830000000,5850000000,Fixed-Satellite (Earth-to-space),primary,
5830000000,5850000000,Radiolocation,primary,
5830000000,5850000000,Amateur,secondary,
5830000000,5850000000,Amateur-Satellite (space-to-Earth),secondary,
5830000000,5850000000,Fixed,secondary,
5830000000,5850000000,Mobile,secondary,
5850000000,5925000000,Fixed,primary,
5850000000,5925000000,Fixed-Satellite (Earth-to-space),primary,
5850000000,5925000000,Mobile,primary,
5925000000,6700000000,Fixed,primary,
5925000000,6700000000,Fixed-Satellite (Earth-to-space),primary,
5925000000,6700000000,Mobile,primary,
5925000000,6700000000,Earth Exploration-Satellite (passive),secondary,
6700000000,7075000000,Fixed,primary,
6700000000,7075000000,Fixed-Satellite (Earth-to-space) (space-to-Earth),primary,
6700000000,7075000000,Earth Exploration-Satellite (passive),secondary,
7075000000,7145000000,Fixed,primary,
7075000000,7145000000,Earth Exploration-Satellite (passive),secondary,
7145000000,7190000000,Fixed,primary,
7145000000,7190000000,Mobile,primary,
7145000000,7190000000,Space Research (deep space) (Earth-to-space),primary,
7145000000,7190000000,Space Operation (Earth-to-space),secondary,
7190000000,7235000000,Earth Exploration-Satellite (Earth-to-space),primary,
7190000000,7235000000,Fixed,primary,
7190000000,7235000000,Mobile,primary,
7190000000,7235000000,Space Research (Earth-to-space),primary,
7235000000,7250000000,Earth Exploration-Satellite (Earth-to-space),primary,
7235000000,7250000000,Fixed,primary,
7235000000,7250000000,Space Research (Earth-to-space),secondary,
7250000000,7300000000,Fixed,primary,
7250000000,7300000000,Fixed-Satellite (space-to-Earth),primary,
7250000000,7300000000,Mobile,primary,
7300000000,7375000000,Fixed,primary,
7300000000,7375000000,Fixed-Satellite (space-to-Earth),primary,
7300000000,7375000000,Mobile except aeronautical mobile,primary,
7375000000,7450000000,Fixed,primary,
7375000000,7450000000,Fixed-Satellite (space-to-Earth),primary,
7375000000,7450000000,Maritime Mobile-Satellite (space-to-Earth),primary,
7375000000,7450000000,Mobile except aeronautical mobile,primary,
7450000000,7550000000,Fixed,primary,
7450000000,7550000000,Fixed-Satellite (space-to-Earth),primary,
7450000000,7550000000,Maritime Mobile-Satellite (space-to-Earth),primary,
7450000000,7550000000,Meteorological-Satellite (space-to-Earth),primary,
7450000000,7550000000,Mobile except aeronautical mobile,primary,
7550000000,7750000000,Mobile except aeronautical mobile,primary,
7550000000,7750000000,Fixed-Satellite (space-to-Earth),primary,
7550000000,7750000000,Fixed,primary,
7750000000,7900000000,Fixed,primary,
7750000000,7900000000,Meteorological-Satellite (space-to-Earth),primary,
7750000000,7900000000,Mobile except aeronautical mobile,primary,
7900000000,8025000000,Fixed,primary,
7900000000,8025000000,Fixed-Satellite (Earth-to-space),primary,
7900000000,8025000000,Mobile,primary,
8025000000,8175000000,Earth Exploration-Satellite (space-to-Earth),primary,
8025000000,8175000000,Fixed,primary,
8025000000,8175000000,Fixed-Satellite (Earth-to-space),primary,
8025000000,8175000000,Mobile,primary,
8175000000,8215000000,Earth Exploration-Satellite (space-to-Earth),primary,
8175000000,8215000000,Fixed,primary,
8175000000,8215000000,Fixed-Satellite (Earth-to-space),primary,
8175000000,8215000000,Meteorological-Satellite (Earth-to-space),primary,
8175000000,8215000000,Mobile,primary,
8215000000,8400000000,Earth Exploration-Satellite (space-to-Earth),primary,
8215000000,8400000000,Fixed,primary,
8215000000,8400000000,Fixed-Satellite (Earth-to-space),primary,
8400000000,8500000000,Fixed,primary,
8400000000,8500000000,Space Research (space-to-Earth),primary,
8400000000,8500000000,Radiolocation,secondary,
8500000000,8550000000,Radiolocation,primary,
8550000000,8650000000,Earth Exploration-Satellite (active),primary,
8550000000,8650000000,Radiolocation,primary,
8550000000,8650000000,Space Research (active),primary,
8650000000,8750000000,Radiolocation,primary,
8750000000,8850000000,Aeronautical Radionavigation,primary,
8750000000,8850000000,Radiolocation,primary,
8750000000,8850000000,Space Research,secondary,
8850000000,9000000000,Maritime Radionavigation,primary,
8850000000,9000000000,Radiolocation,primary,
8850000000,9000000000,Space Research,secondary,
9000000000,9200000000,Aeronautical Radionavigation,primary,
9000000000,9200000000,Radiolocation,primary,
9000000000,9200000000,Space Research,secondary,
9200000000,9300000000,Earth Exploration-Satellite (active),primary,
9200000000,9300000000,Maritime Radionavigation,primary,
9200000000,9300000000,Radiolocation,primary,
9200000000,9300000000,Space Research,secondary,
9300000000,9500000000,Earth Exploration-Satellite (active),primary,
9300000000,9500000000,Radiolocation,primary,
9300000000,9500000000,Radionavigation,primary,
9300000000,9500000000,Space Research (active),primary,
9500000000,9800000000,Earth Exploration-Satellite (active),primary,
9500000000,9800000000,Radiolocation,primary,
9500000000,9800000000,Space Research (active),primary,
9800000000,9900000000,Radiolocation,primary,
9800000000,9900000000,Earth Exploration-Satellite (active),secondary,
9800000000,9900000000,Space Research (active),secondary,
9900000000,10000000000,Earth Exploration-Satellite (active),primary,
9900000000,10000000000,Radiolocation,primary,
9900000000,10000000000,Fixed,secondary,
10000000000,10040000000,Earth Exploration-Satellite (active),primary,
10000000000,10040000000,Fixed,primary,
10000000000,10040000000,Mobile,primary,
10000000000,10040000000,Radiolocation,primary,
10000000000,10040000000,Amateur,secondary,
10400000000,10450000000,Fixed,primary,
10400000000,10450000000,Radiolocation,primary,
10400000000,10450000000,Amateur,secondary,
10400000000,10450000000,Mobile,secondary,
10450000000,10500000000,Fixed,primary,
10450000000,10500000000,Mobile,primary,
10450000000,10500000000,Radiolocation,primary,
10450000000,10500000000,Amateur,secondary,
10450000000,10500000000,Amateur-Satellite,secondary,
10500000000,10550000000,Fixed,primary,
10500000000,10550000000,Mobile,primary,
10500000000,10550000000,Radiolocation,secondary,
10550000000,10600000000,Fixed,primary,
10550000000,10600000000,Mobile except aeronautical mobile,primary,
10550000000,10600000000,Radiolocation,secondary,
10600000000,10680000000,Earth Exploration-Satellite (passive),primary,
10600000000,10680000000,Fixed,primary,
10600000000,10680000000,Radio Astronomy,primary,
10600000000,10680000000,Space Research (passive),primary,
10600000000,10680000000,Mobile except aeronautical mobile,secondary,
10600000000,10680000000,Radiolocation,secondary,
10680000000,10700000000,Earth Exploration-Satellite (passive),primary,
10680000000,10700000000,Radio Astronomy,primary,
10680000000,10700000000,Space Research (passive),primary,
10700000000,10950000000,Fixed,primary,
10700000000,10950000000,Fixed-Satellite (Earth-to-space),primary,
10700000000,10950000000,Fixed-Satellite (space-to-Earth),primary,
10700000000,10950000000,Mobile except aeronautical mobile,primary,
10700000000,10950000000,Mobile-Satellite (space-to-Earth),secondary,
10950000000,11200000000,Fixed,primary,
10950000000,11200000000,Fixed-Satellite (Earth-to-space),primary,
10950000000,11200000000,Fixed-Satellite (space-to-Earth),primary,
10950000000,11200000000,Mobile except aeronautical mobile,primary,
11200000000,11450000000,Fixed,primary,
11200000000,11450000000,Fixed-Satellite (Earth-to-space),primary,
11200000000,11450000000,Fixed-Satellite (space-to-Earth),primary,
11200000000,11450000000,Mobile except aeronautical mobile,primary,
11450000000,11700000000,Fixed,primary,
11450000000,11700000000,Fixed-Satellite (Earth-to-space),primary,
11450000000,11700000000,Fixed-Satellite (space-to-Earth),primary,
11450000000,11700000000,Mobile except aeronautical mobile,primary,
11700000000,12500000000,Broadcasting-Satellite,primary,
11700000000,12500000000,Mobile except aeronautical mobile,primary,
12500000000,12750000000,Fixed-Satellite (Earth-to-space),primary,
12500000000,12750000000,Fixed-Satellite (space-to-Earth),primary,
12750000000,13250000000,Fixed,primary,
12750000000,13250000000,Fixed-Satellite (Earth-to-space),primary,
13250000000,13400000000,Aeronautical Radionavigation,primary,
13250000000,13400000000,Earth Exploration-Satellite (active),primary,
13250000000,13400000000,Space Research (active),primary,
13400000000,13650000000,Earth Exploration-Satellite (active),primary,
13400000000,13650000000,Fixed-Satellite (space-to-Earth),primary,
13400000000,13650000000,Radiolocation,primary,
13400000000,13650000000,Space Research,primary,
13650000000,13750000000,Earth Exploration-Satellite (active),primary,
13650000000,13750000000,Radiolocation,primary,
13650000000,13750000000,Space Research,primary,
13750000000,14000000000,Fixed-Satellite (Earth-to-space),primary,
13750000000,14000000000,Radiolocation,primary,
13750000000,14000000000,Space Research,secondary,
14000000000,14250000000,Fixed-Satellite (Earth-to-space),primary,
14000000000,14250000000,Mobile-Satellite (Earth-to-space),secondary,
14000000000,14250000000,Space Research,secondary,
14250000000,14300000000,Fixed-Satellite (Earth-to-space),primary,
14250000000,14300000000,Mobile-Satellite (Earth-to-space),secondary,
14250000000,14300000000,Space Research,secondary,
14300000000,14400000000,Fixed-Satellite (Earth-to-space),primary,
14300000000,14400000000,Mobile-Satellite (Earth-to-space),secondary,
14400000000,14470000000,Fixed-Satellite (Earth-to-space),primary,
14400000000,14470000000,Mobile-Satellite (Earth-to-space),secondary,
14470000000,14500000000,Fixed-Satellite (Earth-to-space),primary,
14470000000,14500000000,Mobile-Satellite (Earth-to-space),secondary,
14470000000,14500000000,Radio Astronomy,secondary,
14500000000,14750000000,Fixed,primary,
14500000000,14750000000,Mobile,primary,
14500000000,14750000000,Radio Astronomy,secondary,
14750000000,14800000000,Fixed,primary,
14750000000,14800000000,Mobile,primary,
14750000000,14800000000,Radio Astronomy,secondary,
14800000000,15350000000,Fixed,primary,
14800000000,15350000000,Mobile,primary,
14800000000,15350000000,Radio Astronomy,secondary,
15350000000,15400000000,Earth Exploration-Satellite (passive),primary,
15350000000,15400000000,Radio Astronomy,primary,
15350000000,15400000000,Space Research (passive),primary,
15400000000,15430000000,Aeronautical Radionavigation,primary,
15400000000,15430000000,Radiolocation,primary,
15430000000,15630000000,Aeronautical Radionavigation,primary,
15430000000,15630000000,Fixed-Satellite (Earth-to-space),primary,
15430000000,15630000000,Radiolocation,primary,
15630000000,15700000000,Aeronautical Radionavigation,primary,
15630000000,15700000000,Radiolocation,primary,
15700000000,16600000000,Radiolocation,primary,
16600000000,17100000000,Radiolocation,primary,
16600000000,17100000000,Space Research (deep space) (Earth-to-space),secondary,
17100000000,17200000000,Radiolocation,primary,
17100000000,17200000000,Mobile,secondary,
17200000000,17300000000,Earth Exploration-Satellite (active),primary,
17200000000,17300000000,Mobile,primary,
17200000000,17300000000,Radiolocation,primary,
17200000000,17300000000,Space Research (active),primary,
17300000000,17700000000,Fixed-Satellite (Earth-to-space),primary,
17300000000,17700000000,Fixed-Satellite (space-to-Earth),primary,
17300000000,17700000000,Radiolocation,secondary,
17700000000,18100000000,Fixed,primary,
17700000000,18100000000,Fixed-Satellite (space-to-Earth),primary,
17700000000,18100000000,Fixed-Satellite (Earth-to-space),primary,
18100000000,18400000000,Fixed,primary,
18100000000,18400000000,Fixed-Satellite (Earth-to-space),primary,
18100000000,18400000000,Fixed-Satellite (space-to-Earth),primary,
18100000000,18400000000,Meteorological-Satellite (space-to-Earth),primary,
18400000000,18600000000,Fixed,primary,
18400000000,18600000000,Fixed-Satellite (space-to-Earth),primary,
18600000000,18800000000,Earth Exploration-Satellite (passive),primary,
18600000000,18800000000,Fixed,primary,
18600000000,18800000000,Fixed-Satellite (space-to-Earth),primary,
18800000000,19300000000,Fixed,primary,
18800000000,19300000000,Fixed-Satellite (space-to-Earth),primary,
19300000000,19700000000,Fixed,primary,
19300000000,19700000000,Fixed-Satellite (space-to-Earth) (Earth-to-space),primary,
19700000000,20100000000,Fixed-Satellite (space-to-Earth),primary,
19700000000,20100000000,Mobile-Satellite (space-to-Earth),secondary,
20100000000,20200000000,Fixed-Satellite (space-to-Earth),primary,
20100000000,20200000000,Mobile-Satellite (space-to-Earth),primary,
20200000000,21200000000,Fixed-Satellite (space-to-Earth),primary,
20200000000,21200000000,Mobile-Satellite (space-to-Earth),primary,
21200000000,21400000000,Earth Exploration-Satellite (passive),primary,
21200000000,21400000000,Fixed,primary,
21200000000,21400000000,Mobile,primary,
21200000000,21400000000,Space Research (passive),primary,
21400000000,22000000000,Broadcasting-Satellite,primary,
22000000000,22210000000,Fixed,primary,
22000000000,22210000000,Mobile except aeronautical mobile,primary,
22000000000,22210000000,Radio Astronomy,primary,
22000000000,22210000000,Space Research (passive),primary,
22210000000,22500000000,Fixed,primary,
22210000000,22500000000,Mobile except aeronautical mobile,primary,
22210000000,22500000000,Radio Astronomy,primary,
22210000000,22500000000,Space Research (passive),primary,
22210000000,22500000000,Earth Exploration-Satellite (passive),secondary,
22210000000,22500000000,Mobile,secondary,
22500000000,22550000000,Fixed,primary,
22500000000,22550000000,Mobile,primary,
22500000000,22550000000,Radio Astronomy,primary,
22500000000,22550000000,Space Research (passive),primary,
22550000000,23150000000,Fixed,primary,
22550000000,23150000000,Inter-Satellite,primary,
22550000000,23150000000,Mobile,primary,
22550000000,23150000000,Radio Astronomy,primary,
23150000000,23550000000,Fixed,primary,
23150000000,23550000000,Mobile,primary,
23150000000,23550000000,Inter-Satellite,primary,
23550000000,23600000000,Fixed,primary,
23550000000,23600000000,Inter-Satellite,primary,
23550000000,23600000000,Mobile,primary,
23600000000,24000000000,Earth Exploration-Satellite (passive),primary,
23600000000,24000000000,Space Research (passive),primary,
23600000000,24000000000,Radio Astronomy,primary,
24000000000,24050000000,Amateur,primary,
24000000000,24050000000,Amateur-Satellite,primary,
24050000000,24250000000,Radiolocation,primary,
24050000000,24250000000,Amateur,secondary,
24050000000,24250000000,Earth Exploration-Satellite (active),secondary,
24050000000,24250000000,Fixed,secondary,
24050000000,24250000000,Mobile,secondary,
24250000000,24450000000,Mobile,primary,
24250000000,24450000000,Fixed,primary,
24450000000,24500000000,Mobile,primary,
24450000000,24500000000,Fixed,primary,
24500000000,24650000000,Mobile,primary,
24500000000,24650000000,Fixed,primary,
24650000000,24750000000,Mobile,primary,
24650000000,24750000000,Fixed,primary,
24650000000,24750000000,Fixed-Satellite (Earth-to-space),primary,
24750000000,25250000000,Mobile except aeronautical mobile,primary,
24750000000,25250000000,Fixed,primary,
24750000000,25250000000,Fixed-Satellite (Earth-to-space),primary,
24750000000,25250000000,Inter-Satellite,primary,
25250000000,25500000000,Mobile,primary,
25250000000,25500000000,Fixed,primary,
25250000000,25500000000,Inter-Satellite,primary,
25500000000,26500000000,Mobile,primary,
25500000000,26500000000,Fixed,primary,
25500000000,26500000000,Inter-Satellite,primary,
25500000000,26500000000,Space Research (space-to-Earth),primary,
25500000000,26500000000,Earth Exploration-Satellite (space-to-Earth),secondary,
26500000000,27000000000,Mobile,primary,
26500000000,27000000000,Fixed,primary,
26500000000,27000000000,Inter-Satellite,primary,
26500000000,27000000000,Space Research (space-to-Earth),primary,
26500000000,27000000000,Earth Exploration-Satellite (space-to-Earth),secondary,
27000000000,27500000000,Mobile,primary,
27000000000,27500000000,Fixed,primary,
27000000000,27500000000,Inter-Satellite,primary,
27000000000,27500000000,Earth Exploration-Satellite (space-to-Earth),secondary,
27500000000,28500000000,Fixed,primary,
27500000000,28500000000,Fixed-Satellite (Earth-to-space),primary,
28500000000,29100000000,Fixed,primary,
28500000000,29100000000,Fixed-Satellite (Earth-to-space),primary,
28500000000,29100000000,Earth Exploration-Satellite (Earth-to-space),secondary,
29100000000,29500000000,Fixed,primary,
29100000000,29500000000,Fixed-Satellite (Earth-to-space),primary,
29100000000,29500000000,Earth Exploration-Satellite (Earth-to-space),secondary,
29500000000,29900000000,Fixed-Satellite (Earth-to-space),primary,
29500000000,29900000000,Earth Exploration-Satellite (Earth-to-space),secondary,
29500000000,29900000000,Mobile-Satellite (Earth-to-space),secondary,
29900000000,30000000000,Earth Exploration-Satellite (Earth-to-space),primary,
29900000000,30000000000,Fixed-Satellite (Earth-to-space),primary,
29900000000,30000000000,Mobile-Satellite (Earth-to-space),primary,
30000000000,31000000000,Fixed-Satellite (Earth-to-space),primary,
30000000000,31000000000,Mobile-Satellite (Earth-to-space),primary,
31000000000,31300000000,Fixed,primary,
31000000000,31300000000,Mobile,primary,
31300000000,31500000000,Earth Exploration-Satellite (passive),primary,
31300000000,31500000000,Radio Astronomy,primary,
31300000000,31500000000,Space Research (passive),primary,
31500000000,31800000000,Earth Exploration-Satellite (passive),primary,
31500000000,31800000000,Radio Astronomy,primary,
31500000000,31800000000,Space Research (passive),primary,
31500000000,31800000000,Fixed,secondary,
31500000000,31800000000,Mobile except aeronautical mobile,secondary,
31800000000,32000000000,Fixed,primary,Fixed
31800000000,32000000000,Radionavigation,primary,Radionavigation
31800000000,32000000000,Space Research (deep space) (space-to-Earth),primary,
32000000000,32300000000,Fixed,primary,
32000000000,32300000000,Radionavigation,primary,
32000000000,32300000000,Space Research (deep space) (space-to-Earth),primary,
32300000000,33000000000,Fixed,primary,
32300000000,33000000000,Inter-Satellite,primary,
32300000000,33000000000,Radionavigation,primary,
33000000000,33400000000,Fixed,primary,
33000000000,33400000000,Inter-Satellite,primary,
33000000000,33400000000,Radionavigation,primary,
33400000000,34200000000,Radiolocation,primary,
34200000000,34700000000,Radiolocation,primary,
34200000000,34700000000,Space Research (deep space) (Earth-to-space),primary,
34700000000,35200000000,Radiolocation,primary,
34700000000,35200000000,Space Research,secondary,
35200000000,35500000000,Meteorological Aids,primary,
35200000000,35500000000,Radiolocation,primary,
35500000000,36000000000,Earth Exploration-Satellite (active),primary,
35500000000,36000000000,Meteorological Aids,primary,
35500000000,36000000000,Radiolocation,primary,
35500000000,36000000000,Space Research (active),primary,
36000000000,37000000000,Earth Exploration-Satellite (passive),primary,
36000000000,37000000000,Fixed,primary,
36000000000,37000000000,Mobile,primary,
36000000000,37000000000,Space Research (passive),primary,
36000000000,37000000000,Radio Astronomy,secondary,
37000000000,37500000000,Fixed,primary,
37000000000,37500000000,Space Research (space-to-Earth),primary,
37500000000,38000000000,Fixed,primary,
37500000000,38000000000,Fixed-Satellite (space-to-Earth),primary,
37500000000,38000000000,Space Research (space-to-Earth),primary,
37500000000,38000000000,Earth Exploration-Satellite (space-to-Earth),secondary,
38000000000,39500000000,Fixed,primary,
38000000000,39500000000,Fixed-Satellite (space-to-Earth),primary,
38000000000,39500000000,Earth Exploration-Satellite (space-to-Earth),secondary,
39500000000,40000000000,Fixed,primary,
39500000000,40000000000,Fixed-Satellite (space-to-Earth),primary,
39500000000,40000000000,Mobile,primary,
39500000000,40000000000,Mobile-Satellite (space-to-Earth),primary,
39500000000,40000000000,Earth Exploration-Satellite (space-to-Earth),secondary,
40000000000,40500000000,Fixed,primary,
40000000000,40500000000,Fixed-Satellite (space-to-Earth),primary,
40000000000,40500000000,Mobile,primary,
40000000000,40500000000,Mobile-Satellite (space-to-Earth),primary,
40000000000,40500000000,Space Research (Earth-to-space),primary,
40000000000,40500000000,Earth Exploration-Satellite (space-to-Earth),secondary,
40500000000,41000000000,Broadcasting,primary,
40500000000,41000000000,Broadcasting-Satellite,primary,
40500000000,41000000000,Fixed,primary,
40500000000,41000000000,Land Mobile,primary,
40500000000,41000000000,Aeronautical Mobile,secondary,
40500000000,41000000000,Maritime Mobile,secondary,
41000000000,42500000000,Broadcasting,primary,
41000000000,42500000000,Broadcasting-Satellite,primary,
41000000000,42500000000,Fixed,primary,
41000000000,42500000000,Land Mobile,primary,
41000000000,42500000000,Aeronautical Mobile,secondary,
41000000000,42500000000,Maritime Mobile,secondary,
42500000000,43500000000,Fixed,primary,
42500000000,43500000000,Fixed-Satellite (Earth-to-space),primary,
42500000000,43500000000,Mobile except aeronautical mobile,primary,
42500000000,43500000000,Radio Astronomy,primary,
43500000000,45500000000,Mobile,primary,
43500000000,45500000000,Mobile-Satellite,primary,
43500000000,45500000000,Fixed-Satellite,secondary,
45500000000,47000000000,Mobile,primary,
45500000000,47000000000,Mobile-Satellite,primary,
45500000000,47000000000,Radionavigation,primary,
45500000000,47000000000,Radionavigation-Satellite,primary,
47000000000,47200000000,Amateur,primary,
47000000000,47200000000,Amateur-Satellite,primary,
47200000000,47500000000,Fixed,primary,
47200000000,47500000000,Fixed-Satellite (Earth-to-space),primary,
47200000000,47500000000,Mobile,primary,
47500000000,47900000000,Fixed,primary,
47500000000,47900000000,Fixed-Satellite (Earth-to-space),primary,
47500000000,47900000000,Fixed-Satellite (space-to-Earth),primary,
47500000000,47900000000,Mobile,primary,
47900000000,48200000000,Fixed,primary,
47900000000,48200000000,Fixed-Satellite (Earth-to-space),primary,
47900000000,48200000000,Mobile,primary,
48200000000,48540000000,Fixed,primary,
48200000000,48540000000,Fixed-Satellite (Earth-to-space),primary,
48200000000,48540000000,Fixed-Satellite (space-to-Earth),primary,
48200000000,48540000000,Mobile,primary,
48540000000,49440000000,Fixed,primary,
48540000000,49440000000,Fixed-Satellite (Earth-to-space),primary,
48540000000,49440000000,Mobile,primary,
48540000000,49440000000,Radio Astronomy,primary,
49440000000,50200000000,Fixed,primary,
49440000000,50200000000,Fixed-Satellite (Earth-to-space),primary,
49440000000,50200000000,Fixed-Satellite (space-to-Earth),primary,
49440000000,50200000000,Mobile,primary,
50200000000,50400000000,Earth Exploration-Satellite (passive),primary,
50200000000,50400000000,Space Research (passive),primary,
50400000000,51400000000,Fixed,primary,
50400000000,51400000000,Fixed-Satellite (Earth-to-space),primary,
50400000000,51400000000,Mobile-Satellite (Earth-to-space),secondary,
51400000000,52400000000,Fixed,primary,
51400000000,52400000000,Fixed-Satellite (Earth-to-space),primary,
51400000000,52400000000,Mobile,primary,
51400000000,52400000000,Radio Astronomy,primary,
52400000000,52600000000,Fixed,primary,
52400000000,52600000000,Mobile,primary,
52400000000,52600000000,Radio Astronomy,primary,
52600000000,54250000000,Earth Exploration-Satellite (passive),primary,
52600000000,54250000000,Space Research (passive),primary,
54250000000,55780000000,Earth Exploration-Satellite (passive),primary,
54250000000,55780000000,Space Research (passive),primary,
55780000000,56900000000,Earth Exploration-Satellite (passive),primary,
55780000000,56900000000,Fixed,primary,
55780000000,56900000000,Inter-Satellite,primary,
55780000000,56900000000,Space Research (passive),primary,
56900000000,57000000000,Earth Exploration-Satellite (passive),primary,
56900000000,57000000000,Fixed,primary,
56900000000,57000000000,Inter-Satellite,primary,
56900000000,57000000000,Mobile,primary,
56900000000,57000000000,Space Research (passive),primary,
57000000000,58200000000,Earth Exploration-Satellite (passive),primary,
57000000000,58200000000,Fixed,primary,
57000000000,58200000000,Inter-Satellite,primary,
57000000000,58200000000,Mobile,primary,
57000000000,58200000000,Space Research (passive),primary,
58200000000,59000000000,Earth Exploration-Satellite (passive),primary,
58200000000,59000000000,Space Research (passive),primary,
58200000000,59000000000,Fixed,primary,
58200000000,59000000000,Radio Astronomy,primary,
59000000000,59300000000,Earth Exploration-Satellite (passive),primary,
59000000000,59300000000,Fixed,primary,
59000000000,59300000000,Inter-Satellite,primary,
